# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.574326515119769843e+00 1.688689889253034327e-04
1.200000000000000000e+01 1.161223832941000067e+00 1.496220011737241478e-04
1.300000000000000000e+01 8.777091237658269929e-01 1.338713348651969655e-04
1.400000000000000000e+01 6.773527238226345615e-01 1.207805547874451970e-04
1.500000000000000000e+01 5.321986716217653735e-01 1.097551241644106684e-04
1.600000000000000000e+01 4.247421923344081307e-01 1.003618529538874622e-04
1.700000000000000000e+01 3.436713942812284484e-01 9.227828721798308012e-05
1.800000000000000000e+01 2.814854174530011521e-01 8.525987905180968762e-05
1.900000000000000000e+01 2.330702399669743186e-01 7.911809079772201276e-05
2.000000000000000000e+01 1.948785408134416364e-01 7.370543138734930407e-05
2.100000000000000000e+01 1.643873683747879844e-01 6.890500699148560204e-05
2.200000000000000000e+01 1.397840389277810458e-01 6.462308226843190223e-05
2.300000000000000000e+01 1.197335113143069563e-01 6.078369254841559175e-05
2.400000000000000000e+01 1.032495953701582092e-01 5.732468017494427622e-05
2.500000000000000000e+01 8.958396659125891781e-02 5.419473702246471568e-05
2.600000000000000000e+01 7.817161618899565179e-02 5.135116914337715087e-05
2.700000000000000000e+01 6.857236302975272535e-02 4.875818717232058736e-05
2.800000000000000000e+01 6.044816810430337500e-02 4.638558458136654680e-05
2.900000000000000000e+01 5.352925475470141081e-02 4.420770553375992653e-05
3.000000000000000000e+01 4.760580499103835017e-02 4.220263140096809699e-05
3.100000000000000000e+01 4.250651246644581577e-02 4.035153409834578474e-05
3.200000000000000000e+01 3.809697696574150527e-02 3.863815791451493173e-05
3.300000000000000000e+01 3.426499632534514561e-02 3.704840120292128298e-05
3.400000000000000000e+01 3.092210488316034928e-02 3.556997633408561117e-05
3.500000000000000000e+01 2.799277104925329204e-02 3.419213146041052401e-05
3.600000000000000000e+01 2.541737135192178448e-02 3.290542146101556667e-05
3.700000000000000000e+01 2.314380048180333938e-02 3.170151828580840210e-05
3.800000000000000000e+01 2.112982797438483704e-02 3.057305306820528690e-05
3.900000000000000000e+01 1.934118398288245735e-02 2.951348401064184495e-05
4.000000000000000000e+01 1.774785774740687133e-02 2.851698529959509318e-05
4.100000000000000000e+01 1.632340931286839145e-02 2.757835327370100224e-05
4.200000000000000000e+01 1.504639553460512293e-02 2.669292682010182706e-05
4.300000000000000000e+01 1.389946700785123744e-02 2.585651956220611205e-05
4.400000000000000000e+01 1.286592311285487782e-02 2.506536186506405498e-05
4.500000000000000000e+01 1.193316751444820425e-02 2.431605105130493991e-05
4.600000000000000000e+01 1.108865062400797054e-02 2.360550851272684230e-05
4.700000000000000000e+01 1.032233143319969543e-02 2.293094263659526446e-05
4.800000000000000000e+01 9.626254384326538363e-03 2.228981665406191989e-05
4.900000000000000000e+01 8.992007377009126820e-03 2.167982067048157736e-05
5.000000000000000000e+01 8.413669785835537623e-03 2.109884726125140248e-05
5.100000000000000000e+01 7.884686273080003180e-03 2.054497011790336629e-05
5.200000000000000000e+01 7.399969528502932554e-03 2.001642531209112447e-05
5.300000000000000000e+01 6.955667179167180671e-03 1.951159481336593032e-05
5.400000000000000000e+01 6.547156543134477653e-03 1.902899195306272128e-05
5.500000000000000000e+01 6.170946150800884003e-03 1.856724857342986900e-05
5.600000000000000000e+01 5.824501623651726773e-03 1.812510364012393191e-05
5.700000000000000000e+01 5.505014778955936994e-03 1.770139312876985226e-05
5.800000000000000000e+01 5.208938815335503736e-03 1.729504102360634245e-05
5.900000000000000000e+01 4.935158232110474323e-03 1.690505128921667352e-05
6.000000000000000000e+01 4.681672805052945752e-03 1.653050069573931412e-05
6.100000000000000000e+01 4.445744171721251539e-03 1.617053239436736751e-05
6.200000000000000000e+01 4.226770729201656009e-03 1.582435015387995752e-05
6.300000000000000000e+01 4.022858604584395384e-03 1.549121318081161762e-05
6.400000000000000000e+01 3.833172979495557287e-03 1.517043145599054396e-05
6.500000000000000000e+01 3.656116572272062257e-03 1.486136152884243855e-05
6.600000000000000000e+01 3.490660506142915370e-03 1.456340271829314041e-05
6.700000000000000000e+01 3.336266550230083776e-03 1.427599367549680792e-05
6.800000000000000000e+01 3.191675476637769772e-03 1.399860926913269762e-05
6.900000000000000000e+01 3.056123191506286956e-03 1.373075775877644225e-05
7.000000000000000000e+01 2.928915209925686026e-03 1.347197822598106239e-05
7.100000000000000000e+01 2.809769549619858461e-03 1.322183823628318808e-05
7.200000000000000000e+01 2.697741127452212874e-03 1.297993170846741761e-05
7.300000000000000000e+01 2.592636666750903346e-03 1.274587697013623711e-05
7.400000000000000000e+01 2.493305979406574419e-03 1.251931498100614836e-05
7.500000000000000000e+01 2.399964882762222786e-03 1.229990770742466322e-05
7.600000000000000000e+01 2.311881860176393227e-03 1.208733663342291390e-05
7.700000000000000000e+01 2.228987525010916668e-03 1.188130139521637980e-05
7.800000000000000000e+01 2.150341722314378073e-03 1.168151852747153208e-05
7.900000000000000000e+01 2.076223154104936148e-03 1.148772031089578935e-05
8.000000000000000000e+01 2.006049895179480656e-03 1.129965371180161409e-05
8.100000000000000000e+01 1.939829416181597117e-03 1.111707940526233243e-05
8.200000000000000000e+01 1.877038126235620408e-03 1.093977087433462277e-05
8.300000000000000000e+01 1.817197541871087276e-03 1.076751357858164879e-05
8.400000000000000000e+01 1.760621555093090825e-03 1.060010418580591267e-05
8.500000000000000000e+01 1.707102306682941901e-03 1.043734986150191311e-05
8.600000000000000000e+01 1.655969559740300525e-03 1.027906761107303193e-05
8.700000000000000000e+01 1.607544484783491158e-03 1.012508367033446716e-05
8.800000000000000000e+01 1.561432338292383657e-03 9.975232940251489448e-06
8.900000000000000000e+01 1.517493694871553276e-03 9.829358462241918280e-06
9.000000000000000000e+01 1.475817254689741013e-03 9.687310930715919903e-06
9.100000000000000000e+01 1.435841470097952953e-03 9.548948239830085019e-06
9.200000000000000000e+01 1.397886215650376990e-03 9.414135061710964114e-06
9.300000000000000000e+01 1.361629577310838725e-03 9.282742453647632733e-06
9.400000000000000000e+01 1.326974614505995430e-03 9.154647491978637296e-06
9.500000000000000000e+01 1.293831235092395048e-03 9.029732930597362303e-06
9.600000000000000000e+01 1.262306886024533621e-03 8.907886882182020961e-06
9.700000000000000000e+01 1.232123264751789184e-03 8.789002520420165481e-06
9.800000000000000000e+01 1.203207262494104552e-03 8.672977801645208773e-06
9.900000000000000000e+01 1.175490398508498508e-03 8.559715204436903896e-06
1.000000000000000000e+02 1.148908593826411355e-03 8.449121485858677145e-06
1.010000000000000000e+02 1.123401947494485431e-03 8.341107453115095997e-06
1.020000000000000000e+02 1.099083976599026522e-03 8.235587749513146856e-06
1.030000000000000000e+02 1.075559045164509956e-03 8.132480653700798295e-06
1.040000000000000000e+02 1.053114312607853625e-03 8.031707891240805159e-06
1.050000000000000000e+02 1.031533627962128103e-03 7.933194457650384325e-06
1.060000000000000000e+02 1.010773619001350578e-03 7.836868452109245015e-06
1.070000000000000000e+02 9.907935538937230006e-04 7.742660921098548486e-06
1.080000000000000000e+02 9.717064342991756391e-04 7.650505711291220859e-06
1.090000000000000000e+02 9.531704661345192587e-04 7.560339331067479630e-06
1.100000000000000000e+02 9.354518183892556816e-04 7.472100820075241946e-06
1.110000000000000000e+02 9.183673399132873073e-04 7.385731626300731871e-06
1.120000000000000000e+02 9.018869150539081522e-04 7.301175490153226884e-06
1.130000000000000000e+02 8.859821963562434415e-04 7.218378335105816514e-06
1.140000000000000000e+02 8.706264046959878711e-04 7.137288164466873647e-06
1.150000000000000000e+02 8.557943873092065156e-04 7.057854963888452868e-06
1.160000000000000000e+02 8.415934518763627890e-04 6.980030609246264295e-06
1.170000000000000000e+02 8.277363568903893434e-04 6.903768779551689721e-06
1.180000000000000000e+02 8.144620812888673025e-04 6.829024874581230183e-06
1.190000000000000000e+02 8.016193344230249139e-04 6.755755936929683041e-06
1.200000000000000000e+02 7.890666579981662045e-04 6.683920578215356828e-06
1.210000000000000000e+02 7.770332186144647459e-04 6.613478909183350358e-06
1.220000000000000000e+02 7.653773619249480470e-04 6.544392473470692487e-06
1.230000000000000000e+02 7.541995711430522255e-04 6.476624184813769559e-06
1.240000000000000000e+02 7.432493934474454934e-04 6.410138267492254731e-06
1.250000000000000000e+02 7.326309042459924932e-04 6.344900199818742469e-06
1.260000000000000000e+02 7.224413806401896055e-04 6.280876660495019513e-06
1.270000000000000000e+02 7.124437774923896927e-04 6.218035477668503240e-06
1.280000000000000000e+02 7.028461959064621943e-04 6.156345580532552054e-06
1.290000000000000000e+02 6.934198829103520572e-04 6.095776953325246126e-06
1.300000000000000000e+02 6.843671881495773683e-04 6.036300591589960400e-06
1.310000000000000000e+02 6.755699503250015220e-04 5.977888460570447932e-06
1.320000000000000000e+02 6.670180479149811353e-04 5.920513455620548725e-06
1.330000000000000000e+02 6.587018510087928750e-04 5.864149364516855508e-06
1.340000000000000000e+02 6.506123305560078699e-04 5.808770831569076483e-06
1.350000000000000000e+02 6.427407001812741145e-04 5.754353323430056942e-06
1.360000000000000000e+02 6.351738609623047574e-04 5.700873096512491933e-06
1.370000000000000000e+02 6.277120628221009250e-04 5.648307165926504369e-06
1.380000000000000000e+02 6.204444699890359141e-04 5.596633275855474077e-06
1.390000000000000000e+02 6.134549044251252177e-04 5.545829871294797064e-06
1.400000000000000000e+02 6.066427831901893613e-04 5.495876071080680197e-06
1.410000000000000000e+02 5.999130989195676196e-04 5.446751642141987087e-06
1.420000000000000000e+02 5.934378804105258859e-04 5.398436974911021555e-06
1.430000000000000000e+02 5.871214733971569970e-04 5.350913059833489659e-06
1.440000000000000000e+02 5.808733878725570775e-04 5.304161464921494708e-06
1.450000000000000000e+02 5.748590195136906236e-04 5.258164314295599088e-06
1.460000000000000000e+02 5.689871699881862525e-04 5.212904267666986790e-06
1.470000000000000000e+02 5.632528840347544516e-04 5.168364500711413560e-06
1.480000000000000000e+02 5.576513819935741871e-04 5.124528686290807482e-06
1.490000000000000000e+02 5.521781308607983914e-04 5.081380976480983196e-06
1.500000000000000000e+02 5.469068397042524182e-04 5.038905985364438627e-06
1.510000000000000000e+02 5.416762481676670217e-04 4.997088772552401338e-06
1.520000000000000000e+02 5.365614081775249436e-04 4.955914827399049033e-06
1.530000000000000000e+02 5.315584782582171092e-04 4.915370053875910082e-06
1.540000000000000000e+02 5.267378061184701480e-04 4.875440756073415710e-06
1.550000000000000000e+02 5.219469461704181849e-04 4.836113624300895361e-06
1.560000000000000000e+02 5.173294626597509712e-04 4.797375721755629970e-06
1.570000000000000000e+02 5.127371419718867009e-04 4.759214471735132037e-06
1.580000000000000000e+02 5.083100722903239992e-04 4.721617645366108164e-06
1.590000000000000000e+02 5.039731864079765190e-04 4.684573349827166423e-06
1.600000000000000000e+02 4.996553331767356575e-04 4.648070017041859090e-06
1.610000000000000000e+02 4.954914251857860238e-04 4.612096392820415679e-06
1.620000000000000000e+02 4.914095684172270755e-04 4.576641526430060242e-06
1.630000000000000000e+02 4.874072811224333603e-04 4.541694760574155898e-06
1.640000000000000000e+02 4.834170475814711355e-04 4.507245721761839180e-06
1.650000000000000000e+02 4.795674962130054434e-04 4.473284311050763914e-06
1.660000000000000000e+02 4.757904664814691445e-04 4.439800695146097849e-06
1.670000000000000000e+02 4.720838726560032178e-04 4.406785297840140874e-06
1.680000000000000000e+02 4.684456078444932769e-04 4.374228791777666371e-06
1.690000000000000000e+02 4.648736222642948124e-04 4.342122090532605620e-06
1.700000000000000000e+02 4.613661107946616402e-04 4.310456340982460894e-06
1.710000000000000000e+02 4.579211815262140589e-04 4.279222915967673149e-06
1.720000000000000000e+02 4.545370164756391872e-04 4.248413407223892712e-06
1.730000000000000000e+02 4.512701760537728320e-04 4.218019618575114100e-06
1.740000000000000000e+02 4.480017988200528118e-04 4.188033559376649976e-06
1.750000000000000000e+02 4.447892264032447980e-04 4.158447438197880655e-06
1.760000000000000000e+02 4.416308789158159259e-04 4.129253656733949841e-06
1.770000000000000000e+02 4.385809784773441172e-04 4.100444803937429734e-06
1.780000000000000000e+02 4.355261745667521030e-04 4.072013650360533119e-06
1.790000000000000000e+02 4.325213123233276834e-04 4.043953142699291144e-06
1.800000000000000000e+02 4.296188364581230270e-04 4.016256398531378922e-06
1.810000000000000000e+02 4.267093283916193413e-04 3.988916701239572639e-06
1.820000000000000000e+02 4.238984589636111207e-04 3.961927495113505406e-06
1.830000000000000000e+02 4.210794086033962198e-04 3.935282380622248477e-06
1.840000000000000000e+02 4.183040284697830480e-04 3.908975109851249894e-06
1.850000000000000000e+02 4.156220369051488446e-04 3.882999582096536657e-06
1.860000000000000000e+02 4.129804342829295166e-04 3.857349839610364695e-06
1.870000000000000000e+02 4.103285424962104487e-04 3.832020063492224764e-06
1.880000000000000000e+02 4.077652417919285302e-04 3.807004569719280567e-06
1.890000000000000000e+02 4.051907475078985041e-04 3.782297805311098432e-06
1.900000000000000000e+02 4.027018130118725520e-04 3.757894344623139981e-06
