# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.104382469919797716e+00 1.656462169599259696e-04
1.200000000000000000e+01 8.146621012457040401e-01 1.467757001621927129e-04
1.300000000000000000e+01 6.158270817392047514e-01 1.313330968659382283e-04
1.400000000000000000e+01 4.753066855739517260e-01 1.184983349131284153e-04
1.500000000000000000e+01 3.735019741818932371e-01 1.076885086054124954e-04
1.600000000000000000e+01 2.981363593885666408e-01 9.847890269687533955e-05
1.700000000000000000e+01 2.412745957571488797e-01 9.055337178522418744e-05
1.800000000000000000e+01 1.976582566032497601e-01 8.367215245373848414e-05
1.900000000000000000e+01 1.636990844994652139e-01 7.765039580982949577e-05
2.000000000000000000e+01 1.369108588588182074e-01 7.234349654857385981e-05
2.100000000000000000e+01 1.155227716323106862e-01 6.763684801663396586e-05
2.200000000000000000e+01 9.826482228811973807e-02 6.343854898171177252e-05
2.300000000000000000e+01 8.419953866936799591e-02 5.967412121758503327e-05
2.400000000000000000e+01 7.263633499081019462e-02 5.628262338641788580e-05
2.500000000000000000e+01 6.304939921913627066e-02 5.321375141416962898e-05
2.600000000000000000e+01 5.504336373599128668e-02 5.042564686866946841e-05
2.700000000000000000e+01 4.830867031378303922e-02 4.788322080972100763e-05
2.800000000000000000e+01 4.260900255567697664e-02 4.555685790263666211e-05
2.900000000000000000e+01 3.775442793860474960e-02 4.342140446488712297e-05
3.000000000000000000e+01 3.359845330716547396e-02 4.145537089830606144e-05
3.100000000000000000e+01 3.002030060004218931e-02 3.964029767637445570e-05
3.200000000000000000e+01 2.692628711433270317e-02 3.796024731142873731e-05
3.300000000000000000e+01 2.423716388887250592e-02 3.640139423037277896e-05
3.400000000000000000e+01 2.189139593442135726e-02 3.495169138000163471e-05
3.500000000000000000e+01 1.983551681043490764e-02 3.360059743557884275e-05
3.600000000000000000e+01 1.802816320862250452e-02 3.233885222727328343e-05
3.700000000000000000e+01 1.643235224007881870e-02 3.115829079501189919e-05
3.800000000000000000e+01 1.501849284780608362e-02 3.005168859044163884e-05
3.900000000000000000e+01 1.376293249040991609e-02 2.901263194744492418e-05
4.000000000000000000e+01 1.264458963900196194e-02 2.803540917072617250e-05
4.100000000000000000e+01 1.164456588148445222e-02 2.711491853993591700e-05
4.200000000000000000e+01 1.074784235103557091e-02 2.624659026364582824e-05
4.300000000000000000e+01 9.942564919102702889e-03 2.542631999403201814e-05
4.400000000000000000e+01 9.216712549348533845e-03 2.465041196708647129e-05
4.500000000000000000e+01 8.561737081285065304e-03 2.391553019274446511e-05
4.600000000000000000e+01 7.968556010967244377e-03 2.321865640574264744e-05
4.700000000000000000e+01 7.430140674290844523e-03 2.255705371741607881e-05
4.800000000000000000e+01 6.941161630262643670e-03 2.192823509330585650e-05
4.900000000000000000e+01 6.495471810347088967e-03 2.132993593084034161e-05
5.000000000000000000e+01 6.089149246331885743e-03 2.076009013277144274e-05
5.100000000000000000e+01 5.717368879362633508e-03 2.021680917118175765e-05
5.200000000000000000e+01 5.376572308088210794e-03 1.969836371815900846e-05
5.300000000000000000e+01 5.064262003671546504e-03 1.920316748616063070e-05
5.400000000000000000e+01 4.776993156321397010e-03 1.872976297640522667e-05
5.500000000000000000e+01 4.512324769555922307e-03 1.827680887953296392e-05
5.600000000000000000e+01 4.268661766935606151e-03 1.784306891099480841e-05
5.700000000000000000e+01 4.044022480426336282e-03 1.742740189557529545e-05
5.800000000000000000e+01 3.835581056824270783e-03 1.702875294223915646e-05
5.900000000000000000e+01 3.642894498053831070e-03 1.664614557302042090e-05
6.000000000000000000e+01 3.464549369946712948e-03 1.627867468868963069e-05
6.100000000000000000e+01 3.298319433034271712e-03 1.592550027002706160e-05
6.200000000000000000e+01 3.144088956949066174e-03 1.558584172719143049e-05
6.300000000000000000e+01 3.000381599454910939e-03 1.525897282130463743e-05
6.400000000000000000e+01 2.866750801528461599e-03 1.494421709229987567e-05
6.500000000000000000e+01 2.741937554583338300e-03 1.464094373557633204e-05
6.600000000000000000e+01 2.625224426237611399e-03 1.434856387729508370e-05
6.700000000000000000e+01 2.516360459135441076e-03 1.406652720441900171e-05
6.800000000000000000e+01 2.414335950945235842e-03 1.379431891100761133e-05
6.900000000000000000e+01 2.318618567434051723e-03 1.353145692694879526e-05
7.000000000000000000e+01 2.228724448400712030e-03 1.327748939935518857e-05
7.100000000000000000e+01 2.144568122285271227e-03 1.303199240036668509e-05
7.200000000000000000e+01 2.065374070066162103e-03 1.279456783815334757e-05
7.300000000000000000e+01 1.991112967941873098e-03 1.256484155057761857e-05
7.400000000000000000e+01 1.920771072723601383e-03 1.234246156329973489e-05
7.500000000000000000e+01 1.854706394965598224e-03 1.212709649614277280e-05
7.600000000000000000e+01 1.792304937400458894e-03 1.191843410332157589e-05
7.700000000000000000e+01 1.733613262908560975e-03 1.171617993470226570e-05
7.800000000000000000e+01 1.677785801812441959e-03 1.152005610664008739e-05
7.900000000000000000e+01 1.625203634240303700e-03 1.132980017215666777e-05
8.000000000000000000e+01 1.575367711033357886e-03 1.114516408129054254e-05
8.100000000000000000e+01 1.528369129928239300e-03 1.096591322340274608e-05
8.200000000000000000e+01 1.483754310867805995e-03 1.079182554406005556e-05
8.300000000000000000e+01 1.441109501466836468e-03 1.062269072986105356e-05
8.400000000000000000e+01 1.400818403903378697e-03 1.045830945523511219e-05
8.500000000000000000e+01 1.362731078833153385e-03 1.029849268583007809e-05
8.600000000000000000e+01 1.326224657398862106e-03 1.014306103363099881e-05
8.700000000000000000e+01 1.291676554747059986e-03 9.991844159419915295e-06
8.800000000000000000e+01 1.258735109789264244e-03 9.844680218603226349e-06
8.900000000000000000e+01 1.227303860092929721e-03 9.701415346810100999e-06
9.000000000000000000e+01 1.197514219338412667e-03 9.561903181997973673e-06
9.100000000000000000e+01 1.168836062585243548e-03 9.426004420102400763e-06
9.200000000000000000e+01 1.141629327790452675e-03 9.293586401539534955e-06
9.300000000000000000e+01 1.115601454824366023e-03 9.164522726110659506e-06
9.400000000000000000e+01 1.090685469151231627e-03 9.038692894077443604e-06
9.500000000000000000e+01 1.066819231017127837e-03 8.915981971373572644e-06
9.600000000000000000e+01 1.044138674593758469e-03 8.796280277095665901e-06
9.700000000000000000e+01 1.022387345140391129e-03 8.679483091577074486e-06
9.800000000000000000e+01 1.001514917834821173e-03 8.565490383493457610e-06
9.900000000000000000e+01 9.814742227387152507e-04 8.454206554580049159e-06
1.000000000000000000e+02 9.622211289669009354e-04 8.345540200659707484e-06
1.010000000000000000e+02 9.437144219428112140e-04 8.239403887788851591e-06
1.020000000000000000e+02 9.260871982684594017e-04 8.135713942426595283e-06
1.030000000000000000e+02 9.089560652674026370e-04 8.034390254621222549e-06
1.040000000000000000e+02 8.926276865037644295e-04 7.935356093289108593e-06
1.050000000000000000e+02 8.768983241096604212e-04 7.838537932735958506e-06
1.060000000000000000e+02 8.617382140249051341e-04 7.743865289636055107e-06
1.070000000000000000e+02 8.471194197156489735e-04 7.651270569747982802e-06
1.080000000000000000e+02 8.331687684657463483e-04 7.560688923700486968e-06
1.090000000000000000e+02 8.195521757800421905e-04 7.472058111233805006e-06
1.100000000000000000e+02 8.065500212763721108e-04 7.385318373328531774e-06
1.110000000000000000e+02 7.939874257515248685e-04 7.300412311696801378e-06
1.120000000000000000e+02 7.818437577182457340e-04 7.217284775150389702e-06
1.130000000000000000e+02 7.700996175540147622e-04 7.135882752395708224e-06
1.140000000000000000e+02 7.587366713765710717e-04 7.056155270839550301e-06
1.150000000000000000e+02 7.477377431525286102e-04 6.978053301018776235e-06
1.160000000000000000e+02 7.372191632972737102e-04 6.901529666296285930e-06
1.170000000000000000e+02 7.268978041910427543e-04 6.826538957490195288e-06
1.180000000000000000e+02 7.170223256378468676e-04 6.753037452127568549e-06
1.190000000000000000e+02 7.074463247768825007e-04 6.680983038035281201e-06
1.200000000000000000e+02 6.980330193676361058e-04 6.610335141001082873e-06
1.210000000000000000e+02 6.890200421401418938e-04 6.541054656256245028e-06
1.220000000000000000e+02 6.802697634048087165e-04 6.473103883548035946e-06
1.230000000000000000e+02 6.718890728880570849e-04 6.406446465586821539e-06
1.240000000000000000e+02 6.636298106562776725e-04 6.341047329666023693e-06
1.250000000000000000e+02 6.556019717570981970e-04 6.276872632267929043e-06
1.260000000000000000e+02 6.479084082441386805e-04 6.213889706479716743e-06
1.270000000000000000e+02 6.403138237682774346e-04 6.152067012056504845e-06
1.280000000000000000e+02 6.330326334388427807e-04 6.091374087978290390e-06
1.290000000000000000e+02 6.258375288149384177e-04 6.031781507358080152e-06
1.300000000000000000e+02 6.189366907926654180e-04 5.973260834567407957e-06
1.310000000000000000e+02 6.122142108881264370e-04 5.915784584454098760e-06
1.320000000000000000e+02 6.056631967265291554e-04 5.859326183535367772e-06
1.330000000000000000e+02 5.992770912062407498e-04 5.803859933055987879e-06
1.340000000000000000e+02 5.930497917513919944e-04 5.749360973809067398e-06
1.350000000000000000e+02 5.869752967636687573e-04 5.695805252622758689e-06
1.360000000000000000e+02 5.811441263066623045e-04 5.643169490422361646e-06
1.370000000000000000e+02 5.753571074525403286e-04 5.591431151782613102e-06
1.380000000000000000e+02 5.697068010979357191e-04 5.540568415890876467e-06
1.390000000000000000e+02 5.642802341193407876e-04 5.490560148845265467e-06
1.400000000000000000e+02 5.589780710326161094e-04 5.441385877218457866e-06
1.410000000000000000e+02 5.537065254490879411e-04 5.393025762819483979e-06
1.420000000000000000e+02 5.486413830514783345e-04 5.345460578592289312e-06
1.430000000000000000e+02 5.436880073994175208e-04 5.298671685591379210e-06
1.440000000000000000e+02 5.387569091599292426e-04 5.252641010979949160e-06
1.450000000000000000e+02 5.340168795253986966e-04 5.207351026997900860e-06
1.460000000000000000e+02 5.293775454612955267e-04 5.162784730850805020e-06
1.470000000000000000e+02 5.248355402554763949e-04 5.118925625473557821e-06
1.480000000000000000e+02 5.203876027037617662e-04 5.075757701124848787e-06
1.490000000000000000e+02 5.160306524092747203e-04 5.033265417771259884e-06
1.500000000000000000e+02 5.118405149110753175e-04 4.991433688222385529e-06
1.510000000000000000e+02 5.076557919501401006e-04 4.950247861979582092e-06
1.520000000000000000e+02 5.035535488925612941e-04 4.909693709764301255e-06
1.530000000000000000e+02 4.995311625717037103e-04 4.869757408692524846e-06
1.540000000000000000e+02 4.956608194055493613e-04 4.830425528064996875e-06
1.550000000000000000e+02 4.917898354225426309e-04 4.791685015743087358e-06
1.560000000000000000e+02 4.880641755445935316e-04 4.753523185083141396e-06
1.570000000000000000e+02 4.843353495120403663e-04 4.715927702402777652e-06
1.580000000000000000e+02 4.807457084379380659e-04 4.678886574954171607e-06
1.590000000000000000e+02 4.772204831246945893e-04 4.642388139380860821e-06
1.600000000000000000e+02 4.736888319488671601e-04 4.606421050635771470e-06
1.610000000000000000e+02 4.702877408989705982e-04 4.570974271339024404e-06
1.620000000000000000e+02 4.669455410927756431e-04 4.536037061555755189e-06
1.630000000000000000e+02 4.636605511489035503e-04 4.501598968974878897e-06
1.640000000000000000e+02 4.603654708415381904e-04 4.467649819470214027e-06
1.650000000000000000e+02 4.571907815935804978e-04 4.434179708027615304e-06
1.660000000000000000e+02 4.540684678101710435e-04 4.401178990021275472e-06
1.670000000000000000e+02 4.509971249040743528e-04 4.368638272823799582e-06
1.680000000000000000e+02 4.479752996675820690e-04 4.336548407735533609e-06
1.690000000000000000e+02 4.450015704242420113e-04 4.304900482219074818e-06
1.700000000000000000e+02 4.420747372629087461e-04 4.273685812425587513e-06
1.710000000000000000e+02 4.391934889522227260e-04 4.242895936000614248e-06
1.720000000000000000e+02 4.363565660297518182e-04 4.212522605156888770e-06
1.730000000000000000e+02 4.336215303489549390e-04 4.182557780003348466e-06
1.740000000000000000e+02 4.308691013715453921e-04 4.152993622118725044e-06
1.750000000000000000e+02 4.281575910936354914e-04 4.123822488360233434e-06
1.760000000000000000e+02 4.254858984534919120e-04 4.095036924896606688e-06
1.770000000000000000e+02 4.229091371889413722e-04 4.066629661456771067e-06
1.780000000000000000e+02 4.203135332690214557e-04 4.038593605784880378e-06
1.790000000000000000e+02 4.177547973444734313e-04 4.010921838293268028e-06
1.800000000000000000e+02 4.152861922416604783e-04 3.983607606905155632e-06
1.810000000000000000e+02 4.127978773017740451e-04 3.956644322079417809e-06
1.820000000000000000e+02 4.103967101244017650e-04 3.930025552009978900e-06
1.830000000000000000e+02 4.079754523478719246e-04 3.903745017992739266e-06
1.840000000000000000e+02 4.055867078956046996e-04 3.877796589953381927e-06
1.850000000000000000e+02 4.032809069267214407e-04 3.852174282129619578e-06
1.860000000000000000e+02 4.010049982509263089e-04 3.826872248901580033e-06
1.870000000000000000e+02 3.987082690861774447e-04 3.801884780764812971e-06
1.880000000000000000e+02 3.964906234893893428e-04 3.777206300439946799e-06
1.890000000000000000e+02 3.942518720768693535e-04 3.752831359113758459e-06
1.900000000000000000e+02 3.920897436910270343e-04 3.728754632806838218e-06
